obs,Q10,Q7,Q23,Q5,Q6,Q3,Q4,Q18,Jeu,Cluster,Score_Propension,Prediction,Interet_Carte,Prediction_Interet
195,1,4,2,1,2,2,3,2,train,1,0.9500205888435563,1,Oui,Oui
196,2,0,2,2,2,1,2,4,test,1,0.15098521345126192,0,Non,Non
197,1,6,1,1,1,2,1,1,train,0,0.9320935549907743,1,Oui,Oui
198,2,0,0,2,0,7,4,5,train,2,0.030216890700966625,0,Non,Non
199,2,2,2,1,3,4,3,1,train,0,0.31718005286290185,0,Non,Non
200,2,0,1,2,0,4,3,2,test,0,0.5461241508899146,1,Non,Oui
201,1,4,1,1,3,2,2,3,train,0,0.8778326902371347,1,Oui,Oui
202,1,2,1,1,3,2,1,1,train,0,0.4752293559511388,0,Oui,Non
203,1,3,1,1,2,6,3,5,train,1,0.5641063758618007,1,Oui,Oui
204,2,0,2,2,0,7,5,4,test,2,0.017785526097336662,0,Non,Non
205,2,0,1,2,0,3,6,3,train,2,0.18724566273067833,0,Non,Non
206,1,2,2,1,1,2,3,2,train,0,0.8557448781325792,1,Oui,Oui
207,2,2,1,1,3,2,3,5,train,2,0.3627976934549308,0,Non,Non
208,1,3,4,1,1,1,3,2,train,1,0.92627990743706,1,Oui,Oui
209,1,5,1,1,2,6,3,2,train,1,0.9004387530178591,1,Oui,Oui
210,1,5,2,1,2,2,2,2,train,0,0.9468274181217274,1,Oui,Oui
211,1,6,1,1,3,6,2,2,train,1,0.898509989746227,1,Oui,Oui
212,1,2,1,1,3,4,3,1,test,0,0.38894026561311623,0,Oui,Non
213,1,4,2,1,3,6,3,4,train,1,0.30589501505824,0,Oui,Non
214,2,0,2,2,0,4,2,5,test,1,0.16250708823057458,0,Non,Non
215,1,3,2,1,2,1,4,3,train,1,0.6735712511499282,1,Oui,Oui
216,1,5,3,1,2,1,3,3,test,1,0.8967603560749076,1,Oui,Oui
217,1,3,4,1,2,6,3,4,train,1,0.4767865825640716,0,Oui,Non
218,1,2,2,1,3,1,3,2,train,0,0.5756446748085816,1,Oui,Oui
219,2,2,0,1,3,1,4,3,train,2,0.16082321741188252,0,Non,Non
220,1,6,1,1,1,2,5,5,train,2,0.6759975043928876,1,Oui,Oui
221,2,0,1,2,0,3,5,2,train,2,0.14818095429840178,0,Non,Non
222,2,0,0,2,3,3,2,2,train,0,0.14842707281033174,0,Non,Non
223,1,4,1,1,2,1,3,2,test,0,0.9409774722793608,1,Oui,Oui
224,1,4,4,1,2,2,1,1,test,1,0.8951207143745036,1,Oui,Oui
225,2,3,0,1,1,6,4,5,test,2,0.22940894595849953,0,Non,Non
